menu_item_id,menu_id,name,description,price
1,2,Outdoor Picnic Blanket,Water-resistant blanket for picnics and outdoor events.,34.99
2,18,Solar Charger,Portable solar charger for outdoor adventures.,39.99
3,19,Chic Ankle Strap Heels,Stylish ankle strap heels for a classy look at any event.,69.99
4,55,Frozen Mixed Vegetables,"A mix of carrots, peas, and corn, easy to stir-fry.",1.99
5,3,Cabbage,"Fresh green cabbage, great for salads and slaws.",1.29
6,97,Fruit and Nut Bars,Individually packaged bars made with dried fruits and nuts.,1.99
7,51,Interactive Robot Toy,Fun robot that engages kids with games and activities.,34.99
8,15,Artisan Bread,"Freshly baked artisan bread, perfect for sandwiches or toasting.",4.59
9,4,Bamboo Cutting Board,Eco-friendly bamboo cutting board for food prep.,22
10,53,Cranberry Almond Cookies,Delicious cookies with cranberries and almonds in every bite.,4.29
11,91,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,6.49
12,94,Organic Coconut Water,Refreshing coconut water packed with electrolytes for hydration.,2.79
13,45,Eco-Friendly Notepad,Notepad made from recycled paper for sustainable note-taking.,8.99
14,25,Watercolor Set,Complete watercolor set with paints and brushes.,19.99
15,59,Sliced Bread,"Soft and fresh sliced bread, perfect for sandwiches.",2.99
16,94,Cocoa Powder,Rich cocoa powder for baking and chocolate recipes.,3.99
17,58,Smart Wi-Fi Light Bulbs,Energy-efficient LED bulbs that can be controlled via smartphone.,19.99
18,9,High-Quality Yoga Mat,Non-slip mat designed for yoga and fitness exercises.,34.99
19,29,Elegant Maxi Skirt,Float through the day in this beautiful floor-length skirt.,44.99
20,94,Frozen Berry Blend,A mix of frozen berries for smoothies or desserts,4.99
21,66,DIY Candle Kit,Everything you need to make your own scented candles at home.,34.99
22,1,Lentil Vegetable Stew,"Hearty stew made with lentils and mixed vegetables, vegan-friendly.",4.49
23,21,Salt and Pepper Grinder Set,Adjustable grinders for fresh spices at the table.,19.99
24,53,Cauliflower Gnocchi,"Soft and pillowy gnocchi made from cauliflower, perfect with sauce.",3.59
25,3,Pineapple Rings,Delicious canned pineapple rings for desserts or salads.,2.49
26,79,Savory Quinoa Pudding,"A delicious savory quinoa pudding, great as a side dish.",2.99
27,85,Lemon Herb Chicken,Marinated chicken grilled with lemon and herbs.,7.49
28,82,Garden Tool Set,Complete set of gardening tools for all your needs.,34.99
29,92,Dog Training Whistle,High-frequency whistle for training your dog effectively.,8.99
30,29,Sweet Corn Fritters,Golden-brown fritters made with sweet corn.,4.49
31,69,Rustic Italian Bread,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil.",3.59
32,28,Wireless Earbuds,True wireless earbuds with touch control.,69.99
33,32,Chocolate Raspberry Tart,"Rich tart filled with chocolate and raspberry, a gourmet dessert.",9.99
34,36,Children's Educational Workbook,Activity workbook for early learning and fun.,12.99
35,1,Maple Syrup,Pure maple syrup for pancakes and more.,6.99
36,85,Poppy Seed Dressing,"A light and tangy dressing with poppy seeds, perfect for salads.",3.49
37,98,Ergonomic Gaming Chair,Comfortable gaming chair for long hours of play.,199.99
38,23,Smartphone Photography Tripod,Lightweight tripod designed for smartphone photography.,29.99
39,40,Portable Pet Water Bottle,Travel-friendly water bottle for pets on the go.,18.99
40,95,Handmade Leather Wallet,High-quality leather wallet with multiple compartments.,49.99
41,75,Overnight Duffle Bag,Spacious duffle bag for weekend getaways.,34.99
42,4,Surimi Crab Sticks,"Synthetic crab meat sticks, great for salads and sushi.",4.19
43,81,Herbal Tea Infuser,Infuser for brewing loose-leaf herbal teas easily.,9.99
44,62,Organic Green Apples,"Fresh and tart organic green apples, great for snacking or baking.",1.49
45,61,Sweet and Sour Sauce,Perfect dipping sauce or stir-fry addition for a sweet and tangy flavor.,2.79
46,43,Chocolate Avocado Pudding,Rich and creamy pudding made with ripe avocados and cocoa.,4.99
47,61,Plant-Based Cookbook,Delicious recipes focusing on plant-based ingredients.,29.99
48,74,LED Strip Lights,Colorful LED strip lights for home decoration.,19.99
49,49,Italian Herb Balsamic Marinade,"A rich marinade perfect for meats and vegetables, infused with Italian herbs and balsamic vinegar.",3.99
50,6,Graphic Hoodie,Bold graphic hoodie featuring a comfortable fit and soft fabric.,49.99
51,68,Organic Ramen Noodles,Quick-cooking ramen noodles made with organic wheat.,2.89
52,80,Savory Pumpkin Soup,Creamy pumpkin soup with spices,3.89
53,58,Cranberry Orange Juice,Refreshing juice blend of cranberries and oranges.,2.49
54,84,Asian Stir-Fry Kit,Prepped vegetables and sauces for a quick Asian stir-fry meal.,5.49
55,44,Compressible Packing Cubes,Organizational cubes for easy packing and travel.,29.99
56,86,Hot Dog Buns,Soft buns perfect for stuffing with your favorite hot dogs.,2.49
57,10,Tuna Fish (canned),"Wild-caught tuna in olive oil, perfect for salads.",2.29
58,88,Balsamic Fig Dressing,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",3.79
59,51,Cauliflower Crust Pizza,A gluten-free pizza crust made from cauliflower.,7.99
60,94,Sliced Strawberries,Fresh sliced strawberries for toppings or snacking,4.99
61,15,Air Fryer Oven,"Versatile air fryer that also roasts, bakes, and broils.",149.99
62,34,Raisin Cinnamon Granola,Crunchy granola with raisins and cinnamon for a delightful breakfast.,3.79
63,47,Classic Pumps,Elegant classic pumps that add sophistication to any outfit.,64.99
64,32,Bamboo Toothbrush,Eco-friendly bamboo toothbrush for sustainable living.,5.99
65,95,Digital Kitchen Timer,Easy-to-read digital kitchen timer with alarms.,14.99
66,64,Portable Air Purifier,Compact air purifier to improve indoor air quality.,69.99
67,82,Organic Baby Spinach,"Fresh baby spinach leaves, great for salads and smoothies.",2.99
68,90,Portable Leaf Blower,Lightweight leaf blower for maintaining outdoor spaces.,149.99
69,31,Personalized Keychain,Custom keychain with engraved text.,10.99
70,23,Pineapple Chunks (canned),Sweet pineapple chunks in syrup.,2.29
71,85,Mechanical Keyboard,High-performance mechanical keyboard with customizable RGB.,99.99
72,47,Herbed Couscous,Quick-cooking couscous flavored with herbs and spices.,2.49
73,10,Blueberry Muffin Mix,Make delightful blueberry muffins at home with this easy mix.,4.29
74,43,Spicy Thai Chili Sauce,A sweet and spicy sauce for dipping or cooking.,3.29
75,90,Spicy Thai Chili Sauce,A sweet and spicy sauce for dipping or cooking.,3.29
76,28,Reusable Food Storage Bags,Eco-friendly silicone bags for food storage and snacks.,19.99
77,61,Apple Cinnamon Breakfast Muffins,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,3.49
78,12,Lentils,"High in protein, perfect for soups and stews.",2.99
79,53,Bamboo Toothbrush Holder,Eco-friendly bamboo holder for toothbrushes.,14.99
80,87,Chicken Sausage,"Flavorful chicken sausage, low in fat and fully cooked.",6.99
81,52,Coffee Grinder,Burr coffee grinder for fresh ground coffee.,39.99
82,9,Almond Joy Bars,Chocolate-covered candy bars with coconut and almonds.,1.29
83,44,Faux Fur Throw Blanket,Cozy faux fur blanket to add warmth and style to your home.,39.99
84,26,Lentil Vegetable Stew,"Hearty stew made with lentils and mixed vegetables, vegan-friendly.",4.49
85,62,Homestyle Beef Stew,"Hearty beef stew with vegetables, ready to heat and serve.",7.99
86,93,Compact Pop-Up Tent,Easy setup tent perfect for camping and outdoor festivals.,69.99
87,72,Camera Tripod,Sturdy camera tripod for professional photography.,49.99
88,10,Gingerbread House Kit,Everything you need to build a festive gingerbread house.,6.99
89,10,Coconut Cream Pie Mix,"Creamy, sweet pie mix to make the perfect coconut cream pie.",4.99
90,84,Home Office Chair,Ergonomic office chair with lumbar support and adjustable height.,199.99
91,9,Personal Blender with Travel Lid,Blender designed for smoothies and shakes on the go.,34.99
92,73,Reflective Safety Vest,Bright safety vest for outdoor visibility during any activity.,19.99
93,13,Dish Rack,Collapsible dish rack for kitchen countertop use.,24.99
94,6,Organic Granola,Healthy granola made with oats and honey.,5.49
95,34,Basic V-Neck T-Shirt,A staple v-neck t-shirt that pairs well with anything.,19.99
96,59,Teriyaki Chicken Wings,Flavorful chicken wings marinated in a sweet teriyaki glaze.,10.99
97,32,Car Vacuum,Portable car vacuum cleaner with strong suction.,49.99
98,10,Crispy Chickpeas,Roasted chickpeas seasoned for a crunchy snack.,2.99
99,25,Teriyaki Chicken Stir-Fry,"Frozen stir-fry mix with chicken, veggies, and teriyaki sauce.",6.99
100,25,Chocolate Almond Milk,Rich and creamy almond milk with a hint of chocolate.,2.79
