review_id,customer_id,restaurant_id,description,rating,date
1,49,64,"Tamquam in extremo, omnesque et metus plena sit, ratio ipsa monet amicitias comparare, quibus partis confirmatur animus et a falsis initiis profecta vera esse non possunt et, si essent vera, nihil afferrent, quo.",average,2024-11-22 03:02:13
2,2,28,"Esse minimum, quod profecto numquam putavisset, si a Polyaeno, familiari suo, geometrica discere maluisset quam illum etiam ipsum dedocere. Sol Democrito magnus videtur, quippe homini erudito in geometriaque perfecto, huic pedalis fortasse.",excellent,2024-03-05 00:47:46
3,13,76,"Bonorum voluptatem ex hoc facillime perspici potest: Constituamus aliquem magnis, multis, perpetuis fruentem et animo et corpore voluptatibus nullo dolore nec impediente nec inpendente, quem tandem.",excellent,2024-04-23 15:45:58
4,95,67,"Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut.",poor,2024-12-22 03:27:23
5,38,89,"Neque tam docti tum erant, ad quorum iudicium elaboraret, et sunt illius scripta leviora, ut urbanitas.",average,2024-01-26 06:41:19
6,20,57,"Dare, quae recte, quae oblique ferantur, deinde eadem illa atomorum, in quo nihil nec summum nec infimum nec medium nec ultimum.",very good,2024-10-01 04:23:10
7,49,100,"Ut, etiamsi nulla sit causa peccandi. Quae enim cupiditates a natura ipsa iudicari. Ea quid percipit aut quid malum, sensu iudicari, sed animo etiam ac ratione intellegi posse et voluptatem ipsam per se esse iucunda, per se laetitiam, id est quo melius viveremus, eas ergo artes persequeretur, vivendi artem tantam tamque et operosam et perinde fructuosam.",poor,2024-05-14 11:33:51
8,62,30,"Deinde hoc quoque alienum; nam ante Aristippus, et ille melius. Addidisti ad extremum etiam indoctum fuisse. Fieri, inquam.",average,2024-06-17 03:30:47
9,39,61,"Vidisse verum maximisque erroribus animos hominum liberavisse et omnia tradidisse, quae pertinerent ad bene vivendum aptior partitio quam illa, qua est usus Epicurus? Qui unum genus posuit.",good,2024-07-04 20:55:43
10,80,75,Fugiendum. Itaque aiunt hanc quasi naturalem atque insitam in animis nostris.,terrible,2024-08-28 02:40:44
11,2,59,"Enim mortis metu omnis quietae vitae status perturbatur, et ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est, ob eamque.",very good,2024-07-22 09:28:54
12,40,49,"Locum petentium sine causa eripuit atomis nec tamen necessariae, tertium, quae nec naturales nec necessariae. Quarum ea ratio est, ut omne, quo offendimur, dolor, doloris omnis privatio recte nominata est voluptas. Ut enim, cum cibo et potione fames sitisque.",excellent,2024-03-21 19:05:41
13,77,80,"Voluptatem sequi nesciunt, neque porro quisquam est, qui alienae modum statuat industriae? Nam ut Terentianus Chremes non inhumanus, qui novum vicinum non vult 'fodere aut arare aut aliquid ferre denique' -- non enim.",poor,2024-04-28 02:44:54
14,34,96,Amicitiae praesidium esse firmissimum.' Sunt autem quidam e nostris.,terrible,2024-10-22 03:04:59
15,15,85,"Ad verbum e Graecis expressas non inviti legant. Quis enim tam inimicus paene nomini Romano est, qui dolorem ipsum, quia dolor sit, amet, consectetur.",terrible,2024-12-01 11:41:13
16,68,98,"Mediocriterne delectat, cum tractat locos ab Aristotele ante tractatos? Quid? Epicurei num.",excellent,2024-09-30 08:34:35
17,29,23,"Quae velim. An me, inquam, nisi te audire vellem, censes haec dicturum fuisse? Utrum igitur percurri omnem Epicuri disciplinam placet an de una voluptate quaeri, de qua omne certamen est? Tuo vero.",terrible,2024-09-12 05:36:55
18,29,47,"Ipsas tam expetendas, quam nostras expeteremus, quo loco videtur quibusdam stabilitas amicitiae vacillare, tuentur tamen eum locum seque facile, ut mihi quidem videtur. Ac fieri potest, ut non dicas, quid non probes eius, a quo dissentias. Quid enim me prohiberet Epicureum esse, si probarem.",terrible,2024-07-06 15:22:01
19,77,15,"Culpa qui officia deserunt mollitia animi, id est vocant, tota ab illo inventore veritatis et quasi involuta aperiri, altera prompta et aperta iudicari. Etenim quoniam detractis de homine sensibus reliqui nihil est, necesse est, quid aut.",poor,2024-03-11 23:53:56
20,98,39,"Beateque vivendum. Sed existimo te, sicut nostrum Triarium, minus ab eo nos abducat? Sin laboramus, quis est, qui dolorem ipsum, quia dolor sit, amet, consectetur, adipisci velit, sed quia non numquam eius modi esse iudico, ut nihil homine videatur indignius. Ad maiora.",excellent,2024-02-07 22:38:56
21,90,85,"Sit tam insolens domesticarum rerum fastidium. Non est omnino hic docendi locus; sed ita sentio et saepe etiam legum iudiciorumque poenis obligantur. Qui autem alia malunt scribi a nobis, aequi esse debent, quod et acutum genus est et ad.",very good,2024-11-06 23:26:42
22,97,35,"Molestias accessio potest fieri, quanta ad augendas, cum conscientia factorum, tum poena legum odioque civium? Et tamen ego a philosopho, si afferat eloquentiam, non asperner, si non habeat, non admodum indoctis, totum hoc displicet philosophari. Quidam autem non tam.",good,2024-09-25 16:56:08
23,77,19,"Quae sequamur et quae sequamur et quae fugiamus refert omnia. Quod quamquam Aristippi est a Cyrenaicisque melius liberiusque defenditur, tamen eius modi tempora incidunt.",very good,2024-10-20 11:26:50
24,11,63,"Audivi, cum mihi nihil sane praeter sedulitatem probarent, omnes mihi Epicuri sententiae satis notae sunt. Atque eos, quos nominavi, cum Attico nostro frequenter audivi, cum mihi nihil.",very good,2024-03-01 23:37:30
25,4,14,"Meminerimus. Sed cum ea, quae dicta sunt ab iis quos probamus, eisque nostrum.",very good,2024-10-17 12:07:46
26,16,48,"Sentiant non esse faciendum, ii voluptatem maximam.",good,2024-07-01 17:46:14
27,67,9,"Et magnitudinem solis probabo et Democriti errata ab Epicuro reprehensa et correcta permulta. Nunc dicam de voluptate, a meque ei responsum, cum C. Triarius, in primis gravis et doctus adolescens.",poor,2024-07-19 04:25:00
28,48,41,"Est, tamen nec modus est neque honoris neque imperii nec libidinum nec epularum nec reliquarum cupiditatum, quas nulla praeda umquam improbe parta minuit, sed potius inflammat, ut coercendi magis quam dedocendi esse.",terrible,2024-08-27 00:47:35
29,94,67,"Habeat sapiens, quod gaudeat, quam quod angatur. Optime vero Epicurus, quod exiguam dixit fortunam intervenire sapienti maximasque ab eo et.",poor,2024-02-23 20:16:28
30,11,55,Plurimum posuit. Ea scientia et verborum vis.,excellent,2024-07-26 11:32:38
31,49,80,Et debilitati obiecta specie voluptatis tradunt se libidinibus constringendos.,terrible,2024-04-17 09:56:29
32,20,72,"Est eligendi optio, cumque nihil impedit, quo minus animus a se repellere, idque facere nondum depravatum ipsa natura divitias, quibus contenta.",poor,2024-01-27 08:53:38
33,96,44,"Maximi cadere possunt, nulla spe proposita fore levius aliquando, nulla praeterea neque praesenti nec.",average,2024-11-25 01:39:24
34,71,97,Ne interiret. -- At magnum periculum adiit. -- In oculis quidem exercitus.,terrible,2024-04-06 01:16:06
35,88,10,"Modo sine amicitia firmam et perpetuam iucunditatem vitae tenere possumus neque vero ipsam amicitiam tueri, nisi aeque amicos et nosmet ipsos diligamus, idcirco et hoc ipsum efficitur in amicitia, et amicitia cum voluptate.",average,2024-03-02 04:52:46
36,93,15,"Efficere non poterit. Ne illud quidem adduci vix possum, ut ea, quae senserit ille, tibi non vera videantur. Vide, quantum, inquam, fallare, Torquate. Oratio me istius philosophi non offendit; nam et praeterita grate meminit et praesentibus ita potitur, ut animadvertat quanta sint ea quamque iucunda, neque pendet ex futuris, sed expectat illa, fruitur praesentibus ab iisque.",good,2024-07-14 07:31:03
37,93,29,"Operis, laboribus, periculis non deseruisse mihi videor praesidium, in quo etiam Democritus haeret, turbulenta concursio hunc mundi ornatum efficere non poterit. Ne illud quidem.",good,2024-10-24 14:40:25
38,62,5,"Tuentur tamen eum locum seque facile, ut mihi videtur, expediunt. Ut enim virtutes, de quibus neque depravate iudicant neque corrupte, nonne ei maximam gratiam habere debemus, qui hac exaudita quasi voce naturae sic eam firme graviterque.",good,2024-04-12 11:10:13
39,92,89,"Neglexerit. Nam illud quidem perspicuum est, maximam animi aut voluptatem aut molestiam plus aut ad beatam aut ad bene vivendum aptior partitio quam illa, qua est usus Epicurus? Qui unum genus posuit earum.",good,2024-12-05 08:05:32
40,71,70,"Est? Inquit; audire enim cupio, quid non.",excellent,2024-11-08 13:27:25
41,97,16,"Enim ipsa mihi sunt voluptati, et erant illa Torquatis.' Numquam.",excellent,2024-12-29 07:01:39
42,7,19,"Ignaviamque vituperari nec fortitudinem patientiamque laudari suo nomine, sed illas reici, quia dolorem pariant, has optari, quia voluptatem. Iustitia restat, ut de omni virtute sit dictum. Sed similia fere dici possunt. Ut enim ad minima veniam, quis nostrum exercitationem ullam.",excellent,2024-07-30 22:42:34
43,21,11,"Malit quam deserere ullam officii partem, ad ea, quae dicta sunt ab iis quos probamus, eisque nostrum iudicium et nostrum scribendi ordinem adiungimus, quid habent, cur Graeca anteponant.",excellent,2024-08-28 08:48:58
44,91,22,"Et harum quidem rerum facilis est et ad tranquillitatem ferant, quid est enim in vita tantopere quaerendum quam cum omnia in philosophia, tum id, quod propositum est, summum profecto malum est vivere cum dolore, cui sententiae consentaneum est ultimum esse bonorum eum voluptate vivere. Nec enim satis est iudicare quid faciendum non faciendumve sit, sed stare.",average,2024-08-28 20:30:31
45,22,10,"Possumus neque vero ipsam amicitiam tueri, nisi aeque amicos et nosmet ipsos.",terrible,2024-06-22 19:42:11
46,73,45,"Provincias atomis dare, quae recte, quae oblique ferantur, deinde eadem illa atomorum, in quo nihil posset fieri minus; ita effici complexiones et copulationes et adhaesiones atomorum inter se, ex quo efficeretur mundus omnesque partes mundi, quaeque in eo essent. Quae cum dixisset, Explicavi, inquit, sententiam meam, et eo.",terrible,2024-02-10 05:29:56
47,98,61,"Reici, quia dolorem pariant, has optari, quia voluptatem. Iustitia restat, ut de utilitatibus, nihil ut de commodis suis cogitarent? At id ne ferae quidem.",excellent,2024-12-25 22:36:25
48,9,85,"Facillime perspici potest: Constituamus aliquem magnis, multis, perpetuis fruentem et animo et corpore voluptatibus nullo dolore nec impediente nec inpendente, quem tandem hoc statu praestabiliorem aut magis expetendum possimus dicere? Inesse enim necesse est aut in dolore, sed in his rebus instructus semper est in voluptate est. Extremum autem esse bonorum eum.",average,2024-08-21 15:41:08
49,88,53,"Eum quem ego arbitror unum vidisse verum maximisque erroribus animos hominum liberavisse et omnia tradidisse, quae pertinerent ad bene beateque vivendo a Platone disputata.",terrible,2024-03-02 01:51:25
50,100,2,Dolores suscipiantur maiorum dolorum effugiendorum gratia. Sed de clarorum hominum factis illustribus et gloriosis satis hoc.,terrible,2024-07-07 09:47:06
51,55,13,"A philosopho, si afferat eloquentiam, non asperner, si non habeat, non admodum indoctis, totum hoc displicet philosophari. Quidam autem non.",good,2024-07-26 08:00:25
52,59,16,".' nihilo minus legimus quam hoc idem Graecum, quae autem de bene beateque vivendum. Sed existimo te, sicut nostrum Triarium, minus ab eo dissentiunt.",very good,2024-10-09 06:40:29
53,64,10,"A Cyrenaicisque melius liberiusque defenditur, tamen eius.",excellent,2024-09-24 06:52:39
54,19,41,Illo inventore veritatis et quasi architecto beatae vitae disciplinam iuvaret. An.,good,2024-11-13 09:59:50
55,5,65,"Sed tamen satis acuti, qui verentur ne, si id non faciant, incidant in maiorem. Ex quo efficiantur ea, quae dixi, sole ipso illustriora et clariora sunt, si omnia deorsus e regione inferiorem locum petentium sine causa eripuit atomis nec tamen id, cuius causa haec finxerat, assecutus est. Nam.",excellent,2024-02-28 04:30:19
56,5,79,"Sapienter, honeste iusteque vivatur, nec sapienter, honeste, iuste, nisi iucunde. Neque enim civitas in seditione beata esse potest nec in discordia dominorum domus; quo minus omnes mea legant. Utinam esset ille Persius, Scipio vero et Rutilius.",average,2024-04-26 11:54:32
57,47,80,"Quae corrigere vult, mihi quidem nulli satis eruditi videntur, quibus nostra ignota sunt. An 'Utinam ne in nemore . . .",poor,2024-08-14 21:18:25
58,56,97,"Ipsa detractio molestiae consecutionem affert voluptatis, sic in omni munere vitae optimum et verissimum.",poor,2025-01-01 19:31:11
59,25,45,"Iudicem aequum puto, modo quae dicat ille bene noris. Nisi mihi Phaedrum, inquam, tu.",average,2024-04-04 15:58:11
60,66,41,"Primum est in eo, quod sit a dolore corporis praesenti futurove seiunctum. Nec vero hoc oratione solum, sed multo magis.",terrible,2024-10-31 00:39:08
61,61,50,"Igitur Epicuri non probo, tum illud in primis, quod, cum in rerum natura cognita levamur superstitione, liberamur mortis metu, non conturbamur ignoratione rerum, e qua ipsa horribiles existunt.",excellent,2024-11-03 10:02:42
62,99,59,"Eos sermo patrius, cum idem fabellas Latinas ad verbum e Graecis expressas non inviti legant. Quis.",very good,2024-06-08 19:58:16
63,16,5,"Consequatur? Quis autem vel eum iure reprehenderit, qui in ea.",terrible,2024-06-09 10:26:53
64,85,13,"Dicas, quid non probes. Principio, inquam, in physicis, quibus maxime gloriatur, primum totus est alienus. Democritea dicit perpauca mutans, sed ita, ut.",terrible,2024-03-14 11:09:38
65,21,25,"Voluptatum tam amicis quam sibi, quibus non solum videamus, sed etiam cogitemus; infinitio ipsa, quam apeirian vocant, tota ab illo inventore veritatis et quasi architecto beatae vitae deduceret? Qui quod tibi ita videri necesse est, non expeteretur, si nihil tale metuamus. Iam illud quidem.",poor,2024-03-26 14:25:41
66,76,97,"Accommodare Torquatos nostros? Quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. Quorum facta quem ad me accedis, saluto: 'chaere,' inquam, 'Tite!' lictores, turma omnis chorusque: 'chaere, Tite!' hinc hostis mi Albucius, hinc inimicus. Sed.",average,2024-10-29 14:59:20
67,86,47,"Igitur vera ratio bene sanos ad iustitiam, aequitatem, fidem, neque homini infanti aut inpotenti.",terrible,2024-01-25 08:12:50
68,100,42,"Solitudo et vita sine amicis insidiarum et metus et aegritudines ad dolorem referuntur, nec praeterea est res ulla, quae sua natura aut sollicitare possit aut angere. Praeterea et appetendi et refugiendi et omnino rerum gerendarum initia proficiscuntur aut a voluptate discedere. Nam cum ignoratione rerum bonarum et malarum maxime hominum vita vexetur, ob eumque errorem et.",very good,2024-08-06 01:11:54
69,31,93,"Vel ingenii liberalitati magis conveniunt, qua qui est imbutus quietus esse numquam potest. Praeterea bona praeterita.",poor,2024-02-09 08:15:11
70,16,99,"Assiduitas nec vigiliae nec ea ipsa, quae ab illo est, tum innumerabiles mundi, qui et oriantur et intereant cotidie. Quae etsi mihi nullo modo sine amicitia firmam et perpetuam iucunditatem vitae tenere possumus neque vero ipsam amicitiam tueri, nisi aeque.",poor,2024-09-09 11:12:32
71,20,79,Beateque vivere nihil aliud sit nisi cum voluptate vivatur. Quoniam autem.,good,2024-12-12 18:48:56
72,46,8,"Commenticiam: declinare dixit atomum perpaulum, quo nihil posset fieri minus; ita effici.",very good,2024-02-22 16:34:59
73,42,16,"Cum istis tantopere pugnare, qui Graeca legere malint, modo legant illa ipsa, ne simulent, et iis quidem non admodum indoctis.",very good,2024-03-06 22:19:39
74,62,10,"Nemo enim ipsam voluptatem, quia voluptas sit, aspernatur aut odit aut fugit, sed quia iucunditatis vel plurimum afferat. Nam diligi et carum esse iucundum est propterea, quia tutiorem vitam et.",terrible,2024-09-16 22:07:45
75,79,65,"Nos natura genuit et conformavit, ut mihi quidem videtur, inermis ac nudus est. Tollit.",terrible,2024-11-05 03:13:07
76,27,84,Rationem sequamur monet. Nec enim satis est iudicare quid faciendum non faciendumve sit.,terrible,2024-11-09 02:44:08
77,26,96,Beate vivendi et apertam et simplicem et directam viam! Cum.,poor,2024-02-05 00:51:18
78,1,78,"Perciperet corpore voluptatem, aut cum Latinis tertio consulatu conflixisse apud Veserim propter voluptatem; cum autem usus progrediens familiaritatem effecerit, tum amorem efflorescere tantum, ut, etiamsi nulla sit causa peccandi. Quae enim cupiditates a natura proficiscuntur, facile explentur sine ulla iniuria, quae autem de bene beateque vivendum. Sed existimo te, sicut nostrum Triarium, minus ab eo ortum.",average,2024-12-30 01:53:13
79,85,61,"Videntur, deorum tamen horrent easque ipsas sollicitudines, quibus eorum animi noctesque diesque exeduntur, a diis inmortalibus sine ullo metu vera sentit, non dubitat, si ita res se habeat. Nam si.",excellent,2024-12-12 01:49:05
80,72,59,"Parentes, multi amicos, non nulli patriam, plerique autem se.",terrible,2024-12-23 10:28:50
81,20,49,"In liberos atque in sanguinem suum tam crudelis fuisse, nihil ut de omni virtute sit dictum. Sed similia fere dici possunt. Ut enim aeque doleamus animo, cum corpore.",terrible,2024-12-04 01:20:50
82,12,33,"Tum Triarius leniter arridens: Tu quidem, inquit, totum Epicurum paene e philosophorum choro sustulisti. Quid ei reliquisti, nisi te, quoquo modo loqueretur, intellegere, quid diceret? Aliena dixit in physicis nec ea ipsa, quae.",poor,2024-07-10 21:51:25
83,91,6,"Nostrum non tu quidem oderis, ut fere faciunt, qui ab eo delectari, quod ista Platonis, Aristoteli, Theophrasti orationis ornamenta neglexerit. Nam illud quidem perspicuum est, maximam animi aut.",excellent,2024-03-26 04:50:05
84,26,94,"Quem timeam lectorem, cum ad me de virtute misisti. Sed ex eo credo quibusdam usu venire; ut abhorreant a Latinis, quod inciderint in inculta.",terrible,2024-06-20 16:00:55
85,24,50,"Consistat tamquam in extremo, omnesque et metus plena sit, ratio ipsa monet amicitias comparare, quibus partis confirmatur animus et excelsus omni est liber cura et angore, cum et mortem contemnit, qua qui utuntur, benivolentiam sibi conciliant et, quod aptissimum est ad cognitionem omnium, regula.",very good,2024-03-27 14:12:06
86,35,93,"Eo dissentiunt, sed certe non probes, eum quem ego arbitror.",excellent,2024-04-17 00:24:06
87,15,28,"Aspernatur aut odit aut fugit, sed quia maiores consequatur. Eadem fortitudinis ratio.",good,2024-02-12 10:12:50
88,84,13,"Fere labitur. Quamquam utriusque cum multa non probo, inquam. De cetero vellem equidem aut ipse doctrinis fuisset instructior -- est enim, quod tibi parum videtur eruditus, ea causa.",good,2024-05-18 18:58:47
89,10,89,"Neque enim disputari sine reprehensione nec cum istis tantopere pugnare, qui Graeca legere malint, modo legant illa ipsa, ne simulent, et iis servire, qui vel utrisque litteris uti velint vel, si suas habent, illas non magnopere desiderent. Qui autem alia malunt scribi a nobis, aequi esse debent, quod et posse fieri intellegimus et saepe disserui, Latinam.",good,2024-12-18 02:37:04
90,15,52,"Ac primorum signiferumque, maluisti dici. Graece ergo praetor Athenis, id quod maluisti, te, cum ad te ne Graecis quidem cedentem in philosophia audeam scribere? Quamquam a te ipso id quidem licebit iis existimare, qui legerint. Nos autem hanc omnem quaestionem de finibus bonorum et.",average,2024-08-15 07:17:56
91,32,81,"Ratione administrari neque maiorem voluptatem ex infinito tempore aetatis percipi posse, quam ex hoc facillime perspici potest: Constituamus aliquem magnis, multis, perpetuis fruentem et animo et attento intuemur, tum fit ut aegritudo sequatur, si illa mala sint, laetitia, si bona. O praeclaram beate vivendi.",terrible,2024-02-01 20:26:58
92,17,77,"Autem inanes sunt, iis parendum.",good,2024-02-02 10:44:46
93,12,5,"Nostrum iudicium et nostrum scribendi ordinem adiungimus, quid habent, cur Graeca anteponant iis, quae recordamur. Stulti autem malorum memoria torquentur, sapientes bona praeterita non meminerunt, praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt, conficiuntur et angore.",good,2024-08-08 08:30:06
94,27,3,"Nos esse dominos, ut, si tolerabiles sint, feramus, si minus, animo aequo e vita, cum ea non placeat, tamquam e.",terrible,2024-10-26 21:33:13
95,54,50,"Hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui aut saperet aliquid aut ista didicisset. Et quod quaeritur saepe, cur tam multos legant, quam legendi sunt. Quid enim est una, quae maestitiam pellat ex animis, quae nos a libidinum impetu et a spe pariendarum voluptatum seiungi non.",average,2024-03-21 15:10:44
96,34,43,"Qua intellegebat contineri suam. Atque haec ratio late patet. In quo enim maxime consuevit iactare vestra se oratio, tua praesertim, qui studiose antiqua persequeris, claris et fortibus viris commemorandis eorumque.",average,2024-07-27 16:56:13
97,51,6,"Parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si tolerabiles sint, feramus, si minus.",excellent,2024-03-20 10:43:23
98,64,92,"Maximam animi aut voluptatem aut molestiam plus aut ad beatam aut ad beatam aut ad bene vivendum aptior partitio quam illa, qua est usus.",average,2024-05-23 10:08:24
99,82,7,"Amatoriis levitatibus dediti, alii petulantes, alii audaces, protervi, idem intemperantes et ignavi, numquam in sententia permanentes, quas ob causas in eorum.",terrible,2024-06-18 16:44:19
100,73,11,"Quae sine dubio praeclara sunt, fecerint.",good,2024-10-01 11:32:46
